town,latitude,longitude
"Marlín",40.7113678,-4.8295264
"Martiherrero",40.6752873,-4.779996
"Martínez",40.6299978,-5.3477831
"Mediana de Voltoya",40.6999367,-4.5628709
"Medinilla",40.4399962,-5.61824
"Mengamuñoz",40.5009847,-4.9986341
"Mesegar de Corneja",40.5014247,-5.3016483
"Mijares",40.2958062,-4.8369086
"Mingorría",40.7515298,-4.665265
"El Mirón",40.5338446,-5.4052831
"Mironcillo",40.5547207,-4.8237308
"Mirueña de los Infanzones",40.7370387,-5.0911915
"Mombeltrán",40.2594639,-5.0167649
"Monsalupe",40.7692472,-4.7812815
"Moraleja de Matacabras",41.1072841,-4.9568853
"Muñana",40.5908234,-5.0143472
"Muñico",40.706948,-5.0273381
"Muñogalindo",40.6043441,-4.8982345
"Muñogrande",40.8215974,-4.9215323
"Muñomer del Peco",40.8591542,-4.8798278
"Muñopepe",40.6346464,-4.8187637
"Muñosancho",40.9209524,-5.0356572
"Muñotello",40.5418131,-5.0414952
"Narrillos del Álamo",40.5665587,-5.4659816
"Narrillos del Rebollar",40.6649623,-4.9657629
"Narros del Castillo",40.8587935,-5.0594287
"Narros del Puerto",40.5416959,-4.9918307
"Narros de Saldueña",40.8736443,-4.8684267
"Navacepedilla de Corneja",40.4858066,-5.1843419
"Nava de Arévalo",40.9777641,-4.7766642
"Nava del Barco",40.2946529,-5.5407808
"Navadijos",40.4244908,-5.0825292
"Navaescurial",40.4720368,-5.2770456
"Navahondilla",40.3255013,-4.4933129
"Navalacruz",40.4398263,-4.9320303
"Navalmoral",39.893070050000006,-5.540217539499242
"Navalonguilla",40.2785512,-5.500736
"Navalosa",40.401892,-4.9305181
"Navalperal de Pinares",40.593737,-4.4106804
"Navalperal de Tormes",40.3527558,-5.301196
"Navaluenga",40.4101393,-4.7079974
"Navaquesera",40.4254949,-4.9108579
"Navarredonda de Gredos",40.3619081,-5.1330863
"Navarredondilla",40.4536784,-4.8223843
"Navarrevisca",40.3641041,-4.8949471
"Las Navas del Marqués",40.6038003,-4.3278957
"Navatalgordo",40.4157234,-4.8718327
"Navatejares",40.3355162,-5.5320952
"Neila de San Miguel",40.4234979,-5.6507565
"Niharra",40.5893491,-4.8393483
"Ojos-Albos",40.7062924,-4.5166059
"Orbita",40.9983585,-4.6480105
"El Oso",40.841547,-4.7695001
"Padiernos",40.6215544,-4.845327
"Pajares de Adaja",40.9237685,-4.6399321
"Palacios de Goda",41.1174317,-4.7847664
"Papatrigo",40.8680762,-4.8351177
"El Parral",40.7978926,-4.9903179
"Pascualcobo",40.6561766,-5.2765076
"Pedro Bernardo",40.2439312,-4.9108472
"Pedro-Rodríguez",40.9365078,-4.7861044
"Peguerinos",40.6269164,-4.2314283
"Peñalba de Ávila",40.7716876,-4.74703
"Piedrahíta",40.4635304,-5.3277166
"Piedralaves",40.3181182,-4.6986188
"Poveda",40.568,-5.0794334
"Poyales del Hoyo",40.1732011,-5.1651418
"Pozanco",40.800288,-4.6683059
"Pradosegar",40.5491266,-5.0697404
"Puerto Castilla",40.2896265,-5.629666
"Rasueros",41.0232602,-5.0742696
"Riocabado",40.8320259,-4.802935
"Riofrío",40.5477099,-4.778026
"Rivilla de Barajas",40.9019309,-4.9882631
"Salobral",40.6120678,-4.8096732
"Salvadiós",40.8783506,-5.0964251
"San Bartolomé de Béjar",40.4079864,-5.6626602
"San Bartolomé de Corneja",40.4928456,-5.3841741
"San Bartolomé de Pinares",40.5435143,-4.5397941
"Sanchidrián",40.8932876,-4.5831845
"Sanchorreja",40.6646581,-4.9146123
"San Esteban de los Patos",40.7465117,-4.6246867
"San Esteban del Valle",40.273668,-4.98058
"San Esteban de Zapardiel",41.092755,-4.9009616
"San García de Ingelmos",40.7692877,-5.1151447
"San Juan de la Encinilla",40.8302999,-4.8379499
